TIPO DE MORTE;ANO;MÊS;DIA;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;ZONA
LESAO CORPORAL SEGUIDA DE MORTE;2013;8;quinta-feira;20:00-24:00;CIDADE NOVA;R PINHEIRO, PROXIMO A PRACINHA DE CIDADE NOVA;MASCULINO;PARDA;19;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;11;quinta-feira;00:00-04:00;CIDADE NOVA;RUA PINHEIRO II;MASCULINO;PARDA;28;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;10;quinta-feira;NI;MÃE LUÍZA;R SAQUAREMA;MASCULINO;BRANCA;20;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;11;quinta-feira;00:00-04:00;MÃE LUÍZA;VIA PUBLICA NAO DETERMINADA;MASCULINO;PARDA;22;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2015;1;quinta-feira;00:00-04:00;PONTA NEGRA;PRAIA DE PONTA NEGRA;MASCULINO;PARDA;15;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA BRANCA;Sul
HOMICIDIO;2016;7;quinta-feira;04:00-08:00;PONTA NEGRA;RUA SANTO EUZEBIO COM AFONSO MAGALHAES;MASCULINO;PARDA;16;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Sul
HOMICIDIO;2014;11;quinta-feira;16:00-20:00;DIX-SEPT ROSADO;AV CEL ESTEVAM;MASCULINO;PARDA;34;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;8;quinta-feira;NI;FELIPE CAMARÃO;R LUZIA MARTINS DE FRENTE A RESIDENCIA Nº 07 ;MASCULINO;BRANCA;21;AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;1;quinta-feira;08:00-12:00;DIX-SEPT ROSADO;NI;MASCULINO;NEGRA;71;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;7;quinta-feira;12:00-16:00;DIX-SEPT ROSADO;R AMINTAS BARROS NA CALCADA DA RESIDENCIA Nº1829 ;MASCULINO;NEGRA;19;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;7;quinta-feira;12:00-16:00;DIX-SEPT ROSADO;R SAMPAIO CORREIA;MASCULINO;NEGRA;21;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2017;8;quinta-feira;12:00-16:00;DIX-SEPT ROSADO;AV ANTONIO BASILIO, Nº 977, COM A RUA FARMACEUTICO FERNANDES GILBERTO, NO BAR DO CAVEIRINHA;FEMININO;PARDA;21;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;3;quinta-feira;20:00-24:00;FELIPE CAMARÃO;RESIDENCIA RUA PEIXE BOI, Nº 44 - A PROXIMO AO MERCADINHO DO IVO;MASCULINO;PARDA;53;PEDREIRO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;9;quinta-feira;16:00-20:00;FELIPE CAMARÃO;R PEIXE AGULHA Nº191 ;MASCULINO;BRANCA;23;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Oeste
HOMICIDIO;2017;5;quinta-feira;00:00-04:00;FELIPE CAMARÃO;RUA JOAQUIM DE CASTRO, NA LATERAL DO SUPERMERCADO REDE MAIS;MASCULINO;PARDA;22;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;9;quinta-feira;12:00-16:00;FELIPE CAMARÃO;RUA SANTA CLARA, PROXIMO AO BAR DO ADAILTON;MASCULINO;PARDA;20;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;3;quinta-feira;00:00-04:00;FELIPE CAMARÃO;TV SAO VICENTE, Nº 07;MASCULINO;PARDA;18;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;3;quinta-feira;00:00-04:00;FELIPE CAMARÃO;TV SAO VICENTE, Nº 07;MASCULINO;PARDA;28;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;11;quinta-feira;12:00-16:00;IGAPÓ;AV DAS FRONTEIRAS;MASCULINO;NEGRA;36;AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2014;11;quinta-feira;NI;FELIPE CAMARÃO;"LOCALIDADE CONHECIDA COMO""CIDADE DE DEUS""";MASCULINO;NEGRA;22;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;4;quinta-feira;20:00-24:00;FELIPE CAMARÃO;NI;MASCULINO;PARDA;19;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;2;quinta-feira;12:00-16:00;FELIPE CAMARÃO;PROX. A TORRE DE ALTA TENSAO MORRO JARDIM AMERICA ;MASCULINO;PARDA;14;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2013;9;quinta-feira;12:00-16:00;CIDADE NOVA;R JOAO PAULO II Nº 03;MASCULINO;PARDA;16;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2012;10;quinta-feira;NI;FELIPE CAMARÃO;R CRUZEIRO DO SUL;MASCULINO;BRANCA;30;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;8;quinta-feira;08:00-12:00;FELIPE CAMARÃO;R DA FE ;MASCULINO;PARDA;18;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;2;quinta-feira;NI;FELIPE CAMARÃO;R DA FE, COMUNIDADE BARREIROS;MASCULINO;PARDA;19;EMPREGADO DOMESTICO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
