TIPO DE MORTE;ANO;MÊS;DIA;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;ZONA
HOMICIDIO;2016;10;sexta-feira;20:00-24:00;NOVA DESCOBERTA;RUA JOSE OVIDIO DO VALE ;MASCULINO;PARDA;34;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Sul
LESAO CORPORAL SEGUIDA DE MORTE;2012;10;sexta-feira;NI;BOM PASTOR;R BIONOR MEDEIROS ;MASCULINO;NEGRA;58;MOTORISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;9;sexta-feira;NI;PAJUÇARA;EM FRENTE DE UMA RESIDENCIA NA R JOSIVALDO GOMES, 960, LOT. NOVO HORIZONTE;FEMININO;BRANCA;21;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2013;11;sexta-feira;NI;PAJUÇARA;ENCONTRADO AO LADO CAMPO DE FUTEBOL EM FRENTE A CIGARREIRA DE EUDES;MASCULINO;PARDA;20;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;5;sexta-feira;20:00-24:00;PAJUÇARA;LOTEAMENTO PARQUE FLORESTA;MASCULINO;PARDA;24;GARI;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;6;sexta-feira;20:00-24:00;LAGOA AZUL;NORDERLANDIA;MASCULINO;PARDA;21;MOTORISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2012;12;sexta-feira;NI;PAJUÇARA;R BARRAGEM ARMANDO RIBEIRO Nº 09 , LOT. NOVA REPUBLICA;MASCULINO;BRANCA;19;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2013;11;sexta-feira;20:00-24:00;PAJUÇARA;R BOA ESPERANCA , EM FRENTE AO Nº 223, LOT. PARQUE FLORESTA;MASCULINO;PARDA;24;DESEMPREGADO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2013;3;sexta-feira;00:00-04:00;PAJUÇARA;R CAMPOS SALES Nº 10;MASCULINO;PARDA;20;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2012;5;sexta-feira;00:00-04:00;PAJUÇARA;R DA INTEGRACAO;MASCULINO;PARDA;53;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;8;sexta-feira;00:00-04:00;LAGOA AZUL;VIA PUBLICA;MASCULINO;BRANCA;27;MOTORISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;7;sexta-feira;20:00-24:00;PAJUÇARA;R EVILASIO DE MACEDO, LOT NOVA REPUBLICA, CONJ SANTAREM;MASCULINO;BRANCA;23;EX DETENTO TRABALHADOR;NI;ARMA DE FOGO;Norte
HOMICIDIO;2012;2;sexta-feira;NI;PAJUÇARA;R MAR DO LESTE /PARQUE DA FLORESTA. NATAL RN;MASCULINO;PARDA;42;GARI;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2014;6;sexta-feira;04:00-08:00;PAJUÇARA;R SEVERINO TAVARES, VALE DOURADO;FEMININO;PARDA;20;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2015;9;sexta-feira;NI;PAJUÇARA;R VISCONDE DE OURO PRETO;MASCULINO;PARDA;24;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2016;7;sexta-feira;00:00-04:00;PAJUÇARA;RUA DA VIOLA,EM FRENTE A CASA DE Nº 54;MASCULINO;PARDA;24;SEM PROFISSAO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2016;9;sexta-feira;12:00-16:00;PAJUÇARA;RUA SANTA RITA DE CASSIA - BRASIL NOVO;MASCULINO;PARDA;34;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2016;5;sexta-feira;16:00-20:00;PAJUÇARA;RUA SAO JORGE, S/N;MASCULINO;NEGRA;18;PESCADOR;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;9;sexta-feira;12:00-16:00;LAGOA AZUL;R NOVO GRAMADO Nº 299;MASCULINO;BRANCA;21;MUSICO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2017;4;sexta-feira;16:00-20:00;PAJUÇARA;ENCONTRADO EM TERRENO BALDIO NA RUA JOSIVALDO GOMES, PROXIMO A LAGOA, PROXIMO AO SUPERMERCADO AMIGAO E AS TORRES;MASCULINO;PARDA;29;AUTONOMO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;11;sexta-feira;04:00-08:00;PAJUÇARA;AV MOEMA TINOCO, EM UMA RUA DEFORNTE A IGREJA UNIVERSAL, POR TRAS DE UM MORRO;MASCULINO;PARDA;20;DESEMPREGADO;ENSINO FUNDAMENTAL INCOMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2017;9;sexta-feira;20:00-24:00;PAJUÇARA;RUA PROJETADA PROXIMO A RUA SANTA RITA DE CASSIA, PROXIMO A ESCOLA ZULEIDE FERNANDES;MASCULINO;PARDA;27;DESEMPREGADO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2013;3;sexta-feira;NI;PETRÓPOLIS;R MONTEIRO FARIAS;MASCULINO;PARDA;40;NI;NI;ARMA BRANCA;Leste
HOMICIDIO;2013;4;sexta-feira;12:00-16:00;PITIMBU;ESTRADACARROCAVEL ,PROXIMO AO BALNEARIO ;MASCULINO;PARDA;36;NI;NI;ARMA BRANCA;Sul
HOMICIDIO;2013;12;sexta-feira;NI;PITIMBU;R RIO GUAIBA;MASCULINO;PARDA;26;DESEMPREGADO;NI;ARMA BRANCA;Sul
LATROCINIO;2014;1;sexta-feira;16:00-20:00;PITIMBU;R DAS ALGAROBAS -PROXIMO A PANIFICADO VISAO;FEMININO;PARDA;31;ESTUDANTE D;ENSINO SUPERIOR;ARMA DE FOGO;Sul
HOMICIDIO;2016;1;sexta-feira;16:00-20:00;PITIMBU;R DO CARVALHO, CIDADE SATELITE;MASCULINO;PARDA;38;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Sul
FEMINICIDIO;2016;5;sexta-feira;12:00-16:00;PLANALTO;RUA ABREULANDIA;FEMININO;PARDA;35;DESEMPREGADO;NI;ARMA BRANCA;Oeste
HOMICIDIO;2014;12;sexta-feira;20:00-24:00;PLANALTO;VIA PUBLICA;MASCULINO;PARDA;39;NI;NI;ARMA BRANCA;Oeste
HOMICIDIO;2012;10;sexta-feira;NI;PLANALTO;COMUNIDADE DO LENINGRADO;MASCULINO;PARDA;18;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;12;sexta-feira;20:00-24:00;PLANALTO;ENCONTRADO EM ESTRADA CARROCAVEL;MASCULINO;PARDA;34;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2012;12;sexta-feira;NI;CIDADE NOVA;AV INTERVENTOR MARIO CAMARA;MASCULINO;BRANCA;19;REPOSITOR DE ESTOQUE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;9;sexta-feira;16:00-20:00;ROCAS;R DECIO DA FONSECA ;MASCULINO;NEGRA;21;REPOSITOR DE ESTOQUE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2015;7;sexta-feira;20:00-24:00;PLANALTO;R INDOMAR;MASCULINO;PARDA;27;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;11;sexta-feira;16:00-20:00;PLANALTO;R JARDIM DO EDEN;MASCULINO;NEGRA;23;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;11;sexta-feira;04:00-08:00;PLANALTO;R MANOEL ALVES DE ASSIS, 182;MASCULINO;PARDA;21;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;10;sexta-feira;16:00-20:00;PLANALTO;R MIRASSOL ;MASCULINO;NEGRA;19;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;11;sexta-feira;00:00-04:00;PLANALTO;R PROFESSOR COUTINHO;MASCULINO;PARDA;33;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;10;sexta-feira;20:00-24:00;PLANALTO;R SANTA QUITERIA;MASCULINO;PARDA;21;DETENTO FUGITIVO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;8;sexta-feira;NI;CIDADE NOVA;R CENTRAL ,ENCONTRADO DO LADO ESQUERDO DA LINHA DO TREM;MASCULINO;BRANCA;33;SERRALHEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;5;sexta-feira;20:00-24:00;PLANALTO;R SAO BRAULIO ;MASCULINO;PARDA;44;JARDINEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;2;sexta-feira;12:00-16:00;BOM PASTOR;R MANOEL MAXIMO (R DA BOSTA);MASCULINO;PARDA;34;TAXISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;6;sexta-feira;20:00-24:00;IGAPÓ;R SANTA LUZIA;MASCULINO;PARDA;39;TAXISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2016;6;sexta-feira;04:00-08:00;PLANALTO;RUA TIAGO QUEIROZ, CERCA DA MARINHA;MASCULINO;PARDA;18;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;3;sexta-feira;20:00-24:00;PLANALTO;TV ROYAL;MASCULINO;NEGRA;19;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;3;sexta-feira;20:00-24:00;PLANALTO;TV ROYAL;MASCULINO;NEGRA;14;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;7;sexta-feira;08:00-12:00;PLANALTO;TV. SÃO GREGORIO COM RUA MIRASSOL;MASCULINO;PARDA;29;SEM PROFISSAO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2013;6;sexta-feira;16:00-20:00;LAGOA AZUL;AV SAO JOSE, EM FRENTE A PROMATER;MASCULINO;PARDA;60;EMPRESARIO;ENSINO SUPERIOR;ARMA DE FOGO;Norte
HOMICIDIO;2016;12;sexta-feira;16:00-20:00;NOSSA SRA DA APRESENTAÇÃO;AV SANTAREM Nº 1490;MASCULINO;PARDA;32;TAXISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
LATROCINIO;2017;12;sexta-feira;00:00-04:00;PLANALTO;RUA ENGENHEIRO JOAO HELIO - CONDOMINIO THISALIAH PROXIMO AO ANTIGO FORNO DO LIXO E A ESTACAO DE TREM DO PITIMBU;MASCULINO;PARDA;46;PROFESSOR;ENSINO SUPERIOR;ARMA BRANCA;Oeste
HOMICIDIO;2017;6;sexta-feira;16:00-20:00;PLANALTO;RUA DA TORRE COM RUA ENGENHEIRO JOSE DANTAS;MASCULINO;PARDA;49;JARDINEIRO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;6;sexta-feira;16:00-20:00;PLANALTO;RUA DA TORRE COM RUA ENGENHEIRO JOSE DANTAS;MASCULINO;PARDA;55;JARDINEIRO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;3;sexta-feira;20:00-24:00;PLANALTO;TV SANTA LIDUINA, Nº 120 - BECO DA FUMACA, ENTRE AS RUAS JARDIM DO EDEM E SANTO ONOFRE;MASCULINO;PARDA;22;AUXILIAR DE PEDREIRO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;3;sexta-feira;20:00-24:00;PLANALTO;TV SANTA LIDUINA, Nº 120 - BECO DA FUMACA, ENTRE AS RUAS JARDIM DO EDEM E SANTO ONOFRE;FEMININO;PARDA;22;DO LAR;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;1;sexta-feira;20:00-24:00;PLANALTO;R DOS JASMINS Nº 994;FEMININO;NEGRA;30;DO LAR;ENSINO FUNDAMENTAL COMPLETO;OBJETO CONTUNDENTE;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2017;8;sexta-feira;20:00-24:00;POTENGI;RUA SERRA DO ARAGUAIA, Nº 44, PROXIMO AO COLEGIO MONSENHOR LANDIM;MASCULINO;PARDA;53;MOTORISTA;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;8;sexta-feira;08:00-12:00;POTENGI;AV. ITAPETINGA, PRESIDIO RAIMUNDO NONATO;MASCULINO;PARDA;33;COZINHEIRO;NI;ENFORCAMENTO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2017;9;sexta-feira;08:00-12:00;POTENGI;AV SERRA NEGRA - PROXIMO A FARMACIA SANTA FE E RESTAURANTE JJ;MASCULINO;BRANCA;21;MARCENEIRO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;7;sexta-feira;20:00-24:00;POTENGI;CONJUNTO ALVORADA EM FRENTE A IGREJA CATOLICA;MASCULINO;PARDA;16;ESTUDANTE;NI;ARMA DE FOGO;Norte
HOMICIDIO;2014;5;sexta-feira;00:00-04:00;CAPIM MACIO;R PIGNATARO Nº 1963;MASCULINO;BRANCA;41;TECNICO EM ELETRONICA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Sul
HOMICIDIO;2012;6;sexta-feira;NI;POTENGI;AV APUCARANA;MASCULINO;PARDA;22;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;6;sexta-feira;00:00-04:00;POTENGI;AV APUCARANA;MASCULINO;NEGRA;24;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2014;1;sexta-feira;16:00-20:00;POTENGI;AV DR JOAO MEDEIROS FILHO;MASCULINO;NEGRA;20;ENTREGADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
LATROCINIO;2014;9;sexta-feira;00:00-04:00;POTENGI;AV JOAO MEDEIROS FILHO;MASCULINO;NEGRA;21;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;3;sexta-feira;16:00-20:00;POTENGI;AV MARANGUAPE;MASCULINO;PARDA;29;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2016;10;sexta-feira;08:00-12:00;POTENGI;AV POMPEIA - EM FRENTE AO 2075;MASCULINO;PARDA;28;TECNICO EM REFRIGERAÇÃO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2016;1;sexta-feira;16:00-20:00;POTENGI;AV TANCREDO NEVES;MASCULINO;NEGRA;35;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
LATROCINIO;2013;2;sexta-feira;08:00-12:00;POTENGI;AVGOV. ANTONIO DE MELO Nº 25;FEMININO;NEGRA;54;DO LAR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2012;3;sexta-feira;04:00-08:00;POTENGI;BAIRRO PANATIS;MASCULINO;PARDA;34;SERVIDOR PUBLICO;ENSINO SUPERIOR;ARMA DE FOGO;Norte
HOMICIDIO;2015;6;sexta-feira;00:00-04:00;POTENGI;DEIXADO NO HOSPITAL SANTA CATARINA;MASCULINO;PARDA;32;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2014;11;sexta-feira;12:00-16:00;POTENGI;HOSPITAL DR JOSE PEDRO BEZERRA (R ARAQUARI, S/N CONJUNTO SANTA CATARINA);MASCULINO;PARDA;21;NI;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2014;11;sexta-feira;20:00-24:00;POTENGI;HOSPITAL SANTA CATARINA (R ARAGUARI);MASCULINO;PARDA;36;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2015;9;sexta-feira;NI;POTENGI;R CEL BORGES;MASCULINO;PARDA;30;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2012;5;sexta-feira;04:00-08:00;CIDADE NOVA;R JOAO HELIO( FORNO DO LIXO);MASCULINO;BRANCA;30;VENDEDOR DE LOJA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2012;10;sexta-feira;NI;POTENGI;R DIAS D AVILA, PRACA DA MANGUEIRA NO CJ SOLIDADE I;MASCULINO;PARDA;22;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;1;sexta-feira;16:00-20:00;POTENGI;R DO JUAZEIRO Nº 15;MASCULINO;BRANCA;21;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2013;3;sexta-feira;12:00-16:00;FELIPE CAMARÃO;R SAO BERNARDO Nº 59;FEMININO;PARDA;21;VENDEDOR DE LOJA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2017;5;sexta-feira;04:00-08:00;POTENGI;RUA BAHIA, POR TRAS DO PARTAGE NOTH SHOPPING, PROXIMO A CAIXA DAGUA E O CARREFOUR;MASCULINO;PARDA;49;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2015;7;sexta-feira;12:00-16:00;POTENGI;R FRANCISCO PINHEIRO DA SILVA, CONJ SANTAREM;MASCULINO;PARDA;45;DESEMPREGADO;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2015;1;sexta-feira;NI;POTENGI;R GUARACIABA DO Norte, NA CALCADA DE CASA HP;MASCULINO;NEGRA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;3;sexta-feira;NI;POTENGI;R ILHA DE SAO PAULO,1383 SOLIDADE II, DENTRO DE UM DEPOSITO DE BEBIDAS;MASCULINO;NEGRA;32;EX DETENTO TRABALHADOR;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2017;7;sexta-feira;16:00-20:00;POTENGI;RUA HIROSHI IENAGA;MASCULINO;PARDA;38;PEDREIRO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2015;9;sexta-feira;16:00-20:00;POTENGI;R PICO DO CABUGI;MASCULINO;PARDA;24;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2016;4;sexta-feira;20:00-24:00;POTENGI;R SANTA INES - ATRAS DA SHOCK CASA SHOW;MASCULINO;NEGRA;41;GERENTE ADMINISTRATIVO;ENSINO SUPERIOR;ARMA DE FOGO;Norte
HOMICIDIO;2012;3;sexta-feira;NI;CIDADE DA ESPERANÇA;NO PATIO DE VISTORIA DO DETRAN - CIDADE DA ESPERANCA - NATAL;MASCULINO;BRANCA;21;MECANICO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;3;sexta-feira;00:00-04:00;NOVA DESCOBERTA;R NILO RAMALHO, MORRO BRANCO;MASCULINO;NEGRA;33;VENDEDOR DE LOJA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Sul
HOMICIDIO;2016;6;sexta-feira;20:00-24:00;POTENGI;RUA SANTA CLARA, EM FRENTE AO N° 146;MASCULINO;BRANCA;19;ENTREGADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;5;sexta-feira;16:00-20:00;POTENGI;TV ARAGUAIA, 25;FEMININO;PARDA;47;RECICLADOR;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;6;sexta-feira;12:00-16:00;POTENGI;VIA PUBLICA;MASCULINO;NEGRA;24;OPERARIO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;6;sexta-feira;20:00-24:00;POTENGI;VILA PARQUE DAS MANGUEIRAS, 09;MASCULINO;BRANCA;24;NI;NI;ARMA DE FOGO;Norte
LATROCINIO;2017;11;sexta-feira;00:00-04:00;POTENGI;AV JOAO MEDEIROS FILHO - PROXIMO AO SUPERMERCADO NORDESTAO, AO LADO CAIXA ECONOMICA FEDERAL;MASCULINO;PARDA;38;POLICIAL MILITAR;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;9;sexta-feira;20:00-24:00;POTENGI;CADEIA PUBLICA DE NATAL, PRESIDIO PROVISORIO RAIMUNDO NONATO, SITUADO A AV ITAPETINGA;MASCULINO;PARDA;34;AGRICULTOR;NI;ASFIXIA MECANICA PROVOCADA;Norte
HOMICIDIO;2015;2;sexta-feira;04:00-08:00;DIX-SEPT ROSADO;AV CEL ESTEVAM;MASCULINO;NEGRA;19;MECANICO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2012;7;sexta-feira;04:00-08:00;POTENGI;NAS PROXIMIDADE S DO CARREFOUR DA ZONA Norte;MASCULINO;PARDA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ESPANCAMENTO;Norte
OUTRO;2017;8;sexta-feira;NI;POTENGI;TV MARIA JOSE DE LIRA;MASCULINO;NI;22;DESEMPREGADO;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2012;8;sexta-feira;NI;PRAIA DO MEIO;AV PRES CAFE FILHO;MASCULINO;PARDA;29;NI;NI;ARMA BRANCA;Leste
HOMICIDIO;2013;6;sexta-feira;00:00-04:00;DIX-SEPT ROSADO;TV SAO FRANCISCO Nº 17;MASCULINO;NEGRA;20;MECANICO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;6;sexta-feira;16:00-20:00;PRAIA DO MEIO;BECO DO VIETNA - BRASILIA TEIMOSA;MASCULINO;PARDA;18;SEM PROFISSAO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2017;6;sexta-feira;08:00-12:00;PRAIA DO MEIO;AV. CAFE FILHO - EM FRENTE AO AQUARIUS;MASCULINO;PARDA;26;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2013;4;sexta-feira;12:00-16:00;QUINTAS;R DOS BANDEIRANTES;MASCULINO;BRANCA;34;NI;NI;ARMA BRANCA;Oeste
HOMICIDIO;2017;4;sexta-feira;12:00-16:00;QUINTAS;RUA RIO POTENGI, POR TRAS DA ESTAÇÃO DE ELEVAÇÃO DA CAERN (DENTRO DO MANGUE);MASCULINO;PARDA;40;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;1;sexta-feira;08:00-12:00;QUINTAS;RUA NOVA CENTRAL EM FRENTE AO Nº 1751;MASCULINO;PARDA;20;PINTOR;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;5;sexta-feira;04:00-08:00;QUINTAS;RUA MARIO NEGOCIO COM AV 5 CORPO ESQUARTEJADO LOCALIZADO DENTRO DE UM SACO DE ESTOPA ENVOLVIDO EM UM SACO DE LIXA, EM FRENTE A UM LAVA JATO.;MASCULINO;PARDA;28;DIARISTA;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;5;sexta-feira;20:00-24:00;QUINTAS;ENCONTRADO NA RUA DOS BANDEIRANTES, FAVELA DO JAPAO;MASCULINO;NEGRA;18;AUXILIAR DE PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;5;sexta-feira;00:00-04:00;LAGOA AZUL;CRUZAMENTO DAS RS GALDINO BISNETO DOS SANTOS LIMA COM A R POETA RENATO CALDAS ;MASCULINO;PARDA;25;VIGIA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2014;7;sexta-feira;NI;QUINTAS;R DR MARIO NEGOCIO, VIA PUBLICA;MASCULINO;PARDA;22;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2015;7;sexta-feira;04:00-08:00;QUINTAS;R GUANABARA;MASCULINO;BRANCA;19;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;2;sexta-feira;20:00-24:00;QUINTAS;R JOSE VITORIANO DE MEDEIROS;MASCULINO;PARDA;32;CAPOTEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;8;sexta-feira;00:00-04:00;REDINHA;ENCONTRADO NA PRAIA DA REDINHA, ATRAS DO MERCADO PUBLICO DA REDINHA;MASCULINO;PARDA;32;VIGILANTE;ENSINO MEDIO COMPLETO;ASFIXIA MECANICA PROVOCADA;Norte
HOMICIDIO;2012;6;sexta-feira;00:00-04:00;QUINTAS;R NACOES UNIDAS;MASCULINO;PARDA;33;POLIDOR DE VEICULOS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;3;sexta-feira;08:00-12:00;QUINTAS;R RIO POTENGI;MASCULINO;PARDA;50;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;5;sexta-feira;16:00-20:00;DIX-SEPT ROSADO;AV 06 - PROXIMO A LIGA CONTRA O CANCER;MASCULINO;PARDA;49;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA BRANCA;Oeste
HOMICIDIO;2016;2;sexta-feira;12:00-16:00;QUINTAS;R SAO GERALDO;MASCULINO;NEGRA;23;SEM PROFISSAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;1;sexta-feira;16:00-20:00;NOSSA SRA DA APRESENTAÇÃO;R DAS LARANJEIRAS LC;MASCULINO;BRANCA;28;MECANICO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2016;11;sexta-feira;12:00-16:00;QUINTAS;RUA SATIRO DIAS - EM FRENTE AO Nº 1806;MASCULINO;PARDA;21;FEIRANTE;NI;ARMA DE FOGO;Oeste
LATROCINIO;2015;11;sexta-feira;20:00-24:00;QUINTAS;TV DR OSORIO TENORIO, PROX. FARMACIA CANINDE;MASCULINO;PARDA;26;EX DETENTO TRABALHADOR;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2016;4;sexta-feira;12:00-16:00;QUINTAS;TV GUANABARA;MASCULINO;PARDA;33;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2017;2;sexta-feira;00:00-04:00;QUINTAS;RUA SAO GERALDO, Nº 13 - CALCADA EM FRENTE A RESIDENCIA - PROX A DISTRIBUIDORA PROGRESSO;MASCULINO;PARDA;21;FEIRANTE;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2017;9;sexta-feira;00:00-04:00;QUINTAS;AV. MARIO NEGOCIO;MASCULINO;PARDA;20;NI;NI;ARMA DE FOGO;Oeste
LATROCINIO;2017;9;sexta-feira;20:00-24:00;QUINTAS;RUA DOS PEGAS - PROXIMO A ESCOLA FERREIRA ITAJUBA;MASCULINO;PARDA;28;ESTUDANTE;NI;ARMA DE FOGO;Oeste
